Component_ID,Lot_ID,Value_0h,Value_24h,Value_96h,Value_168h,Limit,Drift_0_24_per_h,Drift_24_96_per_h,Drift_96_168_per_h,Failure_Flag_168h,Failure_Time_h,RUL_at_168h,Risk
C-101713,L-118,19.146,19.805,23.452,28.847,50.0,0.02746,0.05066,0.07492,0,360,192,Normal
C-101714,L-104,17.873,18.365,21.393,25.426,50.0,0.02054,0.04205,0.05601,0,432,264,Normal
C-101715,L-115,19.203,19.462,22.215,25.975,50.0,0.0108,0.03823,0.05223,0,432,264,Normal
C-101716,L-109,17.44,18.218,22.603,28.951,50.0,0.0324,0.0609,0.08817,0,360,192,Normal
C-101717,L-107,18.635,19.375,23.436,28.568,50.0,0.03083,0.0564,0.07128,0,360,192,Normal
C-101718,L-116,18.308,18.223,21.338,25.803,50.0,-0.00351,0.04325,0.06202,0,408,240,Normal
C-101719,L-108,17.837,17.194,21.555,26.363,50.0,-0.02679,0.06057,0.06677,0,384,216,Normal
C-101720,L-104,18.138,18.149,20.136,23.927,50.0,0.00044,0.0276,0.05265,0,480,312,Normal
C-101721,L-113,21.363,20.488,23.161,26.405,50.0,-0.03643,0.03712,0.04506,0,504,336,Normal
C-101722,L-119,18.127,19.394,27.013,38.978,50.0,0.05279,0.10583,0.16617,0,240,72,Warning
C-101723,L-113,19.164,19.299,23.116,29.431,50.0,0.00564,0.05301,0.0877,0,360,192,Normal
C-101724,L-107,19.702,20.059,23.679,29.237,50.0,0.01487,0.05027,0.0772,0,360,192,Normal
C-101725,L-103,21.219,21.327,24.583,28.655,50.0,0.00449,0.04523,0.05655,0,408,240,Normal
C-101726,L-106,15.961,16.169,17.905,22.215,50.0,0.00868,0.02411,0.05987,0,480,312,Normal
C-101727,L-112,20.507,20.764,22.081,26.08,50.0,0.01073,0.01828,0.05555,0,456,288,Normal
C-101728,L-106,18.46,18.255,20.489,23.923,50.0,-0.00852,0.03101,0.0477,0,504,336,Normal
C-101729,L-115,19.888,21.002,24.524,30.053,50.0,0.04642,0.04891,0.0768,0,360,192,Normal
C-101730,L-108,19.662,19.729,21.862,26.29,50.0,0.00278,0.02962,0.0615,0,480,312,Normal
C-101731,L-103,18.99,19.374,23.427,30.601,50.0,0.016,0.0563,0.09964,0,312,144,Normal
C-101732,L-113,21.777,22.364,26.85,34.542,50.0,0.02444,0.06232,0.10683,0,312,144,Normal
C-101733,L-116,20.99,21.318,27.215,34.934,50.0,0.01369,0.0819,0.10721,0,288,120,Normal
C-101734,L-118,18.194,19.239,24.602,32.785,50.0,0.04355,0.07449,0.11364,0,264,96,Warning
C-101735,L-103,18.851,19.526,21.968,25.452,50.0,0.02816,0.03391,0.04839,0,480,312,Normal
C-101736,L-117,17.373,18.062,19.538,23.623,50.0,0.02871,0.02051,0.05673,0,504,336,Normal
C-101737,L-102,22.57,23.407,28.776,36.647,50.0,0.03488,0.07458,0.10931,0,288,120,Normal
C-101738,L-119,19.913,21.161,24.248,30.072,50.0,0.05199,0.04287,0.08088,0,384,216,Normal
C-101739,L-112,17.356,18.147,24.93,36.008,50.0,0.03294,0.09421,0.15386,0,240,72,Warning
C-101740,L-104,19.455,19.535,23.361,28.861,50.0,0.0033,0.05314,0.07639,0,360,192,Normal
C-101741,L-116,18.643,18.684,21.52,25.204,50.0,0.00173,0.03938,0.05117,0,480,312,Normal
C-101742,L-117,20.935,21.415,24.831,30.534,50.0,0.02,0.04744,0.07921,0,360,192,Normal
C-101743,L-113,19.776,19.297,22.437,25.957,50.0,-0.01997,0.04361,0.04889,0,456,288,Normal
C-101744,L-109,19.829,19.472,21.695,25.343,50.0,-0.01488,0.03087,0.05067,0,480,312,Normal
C-101745,L-113,18.761,20.703,24.897,30.759,50.0,0.08089,0.05825,0.08143,0,336,168,Normal
C-101746,L-116,22.614,22.236,24.878,28.513,50.0,-0.01575,0.0367,0.05048,0,456,288,Normal
C-101747,L-102,20.325,21.084,25.763,34.462,50.0,0.03162,0.06498,0.12081,0,312,144,Normal
C-101748,L-101,18.807,19.065,21.11,25.11,50.0,0.01076,0.0284,0.05555,0,456,288,Normal
C-101749,L-112,20.339,22.034,29.055,39.492,50.0,0.07062,0.09751,0.14497,0,240,72,Warning
C-101750,L-117,22.381,22.768,29.302,38.951,50.0,0.01611,0.09075,0.13401,0,264,96,Warning
C-101751,L-111,20.532,20.617,27.745,37.934,50.0,0.00352,0.099,0.14152,0,240,72,Warning
C-101752,L-101,21.038,20.95,23.355,27.126,50.0,-0.00366,0.03341,0.05237,0,504,336,Normal
C-101753,L-101,20.752,21.128,27.356,36.1,50.0,0.01566,0.08649,0.12145,0,264,96,Warning
C-101754,L-113,20.687,20.503,24.055,27.521,50.0,-0.00765,0.04932,0.04814,0,432,264,Normal
C-101755,L-116,21.393,21.992,28.523,38.064,50.0,0.02495,0.09071,0.13251,0,240,72,Warning
C-101756,L-111,20.111,21.317,26.982,37.038,50.0,0.05023,0.07868,0.13967,0,264,96,Warning
C-101757,L-105,20.044,20.788,23.438,27.343,50.0,0.03102,0.0368,0.05424,0,456,288,Normal
C-101758,L-106,18.366,18.859,24.581,32.192,50.0,0.02053,0.07947,0.1057,0,312,144,Normal
C-101759,L-110,19.263,20.044,22.12,25.137,50.0,0.03255,0.02884,0.04191,0,480,312,Normal
C-101760,L-103,19.869,19.744,25.219,32.73,50.0,-0.0052,0.07604,0.10432,0,312,144,Normal
C-101761,L-110,17.047,17.766,20.465,24.529,50.0,0.02995,0.03749,0.05645,0,432,264,Normal
C-101762,L-104,17.141,17.612,20.239,23.848,50.0,0.01962,0.03648,0.05013,0,504,336,Normal
C-101763,L-114,17.512,17.965,21.23,25.931,50.0,0.01886,0.04535,0.06529,0,408,240,Normal
C-101764,L-115,18.133,18.653,21.785,25.713,50.0,0.02164,0.0435,0.05456,0,384,216,Normal
C-101765,L-118,20.216,21.125,23.471,26.869,50.0,0.03787,0.03258,0.0472,0,456,288,Normal
C-101766,L-105,19.451,19.503,22.49,27.223,50.0,0.00217,0.04148,0.06573,0,432,264,Normal
C-101767,L-116,18.898,19.758,22.666,26.232,50.0,0.03584,0.04039,0.04953,0,480,312,Normal
C-101768,L-117,18.736,19.817,23.519,28.468,50.0,0.04503,0.05142,0.06873,0,360,192,Normal
C-101769,L-105,19.57,20.308,22.025,25.224,50.0,0.03076,0.02385,0.04443,0,504,336,Normal
C-101770,L-118,17.946,17.994,20.517,24.096,50.0,0.00198,0.03504,0.04971,0,456,288,Normal
C-101771,L-105,21.907,22.758,27.841,34.562,50.0,0.03546,0.0706,0.09334,0,288,120,Normal
C-101772,L-106,18.191,19.079,21.527,25.537,50.0,0.03701,0.034,0.0557,0,480,312,Normal
C-101773,L-109,16.3,17.88,23.088,31.87,50.0,0.06581,0.07233,0.12198,0,264,96,Warning
C-101774,L-117,18.809,19.386,21.4,24.175,50.0,0.02406,0.02797,0.03855,0,504,336,Normal
C-101775,L-108,18.182,18.333,21.67,26.286,50.0,0.00629,0.04634,0.06411,0,408,240,Normal
C-101776,L-117,19.401,19.768,23.007,28.883,50.0,0.01529,0.04499,0.08161,0,360,192,Normal
C-101777,L-115,17.694,18.043,22.31,27.978,50.0,0.01456,0.05926,0.07872,0,360,192,Normal
C-101778,L-112,17.757,18.37,22.498,28.965,50.0,0.02554,0.05732,0.08982,0,336,168,Normal
C-101779,L-111,20.074,20.933,22.757,25.185,50.0,0.03582,0.02533,0.03372,0,504,336,Normal
C-101780,L-110,23.401,22.691,26.379,30.122,50.0,-0.0296,0.05123,0.05198,0,432,264,Normal
C-101781,L-110,20.987,20.99,23.911,27.959,50.0,0.00012,0.04057,0.05622,0,408,240,Normal
C-101782,L-107,16.999,17.231,21.18,26.242,50.0,0.00966,0.05485,0.0703,0,360,192,Normal
C-101783,L-113,18.37,18.721,23.497,31.02,50.0,0.0146,0.06634,0.10448,0,288,120,Normal
C-101784,L-102,19.629,20.67,23.401,26.897,50.0,0.04335,0.03793,0.04856,0,480,312,Normal
C-101785,L-108,21.327,21.607,24.205,27.635,50.0,0.01168,0.03607,0.04765,0,432,264,Normal
C-101786,L-109,17.441,18.715,25.744,37.249,50.0,0.05306,0.09763,0.15979,0,240,72,Warning
C-101787,L-118,18.749,18.904,23.225,28.701,50.0,0.00645,0.06002,0.07605,0,336,168,Normal
C-101788,L-118,22.12,22.475,29.108,38.597,50.0,0.01477,0.09213,0.13179,0,264,96,Warning
C-101789,L-115,21.911,22.273,28.557,38.239,50.0,0.01507,0.08728,0.13447,0,240,72,Warning
C-101790,L-104,20.47,20.843,22.992,25.48,50.0,0.01554,0.02986,0.03455,0,504,336,Normal
C-101791,L-116,19.575,20.468,25.429,34.567,50.0,0.03718,0.06891,0.12691,0,264,96,Warning
C-101792,L-116,23.155,24.079,27.036,31.524,50.0,0.03848,0.04108,0.06233,0,432,264,Normal
C-101793,L-120,19.706,20.613,22.852,27.966,50.0,0.03779,0.03109,0.07104,0,408,240,Normal
C-101794,L-113,18.851,18.543,21.464,25.088,50.0,-0.0128,0.04056,0.05033,0,480,312,Normal
C-101795,L-114,21.621,22.29,28.599,37.56,50.0,0.0279,0.08762,0.12446,0,264,96,Warning
C-101796,L-107,19.224,19.8,25.03,32.053,50.0,0.02399,0.07263,0.09755,0,336,168,Normal
C-101797,L-114,19.845,20.212,22.249,26.689,50.0,0.0153,0.02829,0.06166,0,432,264,Normal
C-101798,L-111,17.313,18.06,20.032,23.173,50.0,0.03112,0.02739,0.04362,0,480,312,Normal
C-101799,L-116,18.577,19.551,22.983,28.624,50.0,0.04058,0.04767,0.07835,0,360,192,Normal
C-101800,L-102,20.169,20.608,23.859,28.26,50.0,0.01827,0.04515,0.06112,0,408,240,Normal
C-101801,L-113,18.691,19.242,23.772,30.623,50.0,0.02297,0.06292,0.09516,0,336,168,Normal
C-101802,L-112,19.205,19.78,24.23,32.614,50.0,0.02395,0.06181,0.11644,0,288,120,Normal
C-101803,L-120,19.258,19.312,22.806,27.781,50.0,0.00225,0.04853,0.06909,0,384,216,Normal
C-101804,L-120,19.585,19.901,23.002,28.081,50.0,0.01316,0.04306,0.07054,0,408,240,Normal
C-101805,L-109,18.462,19.067,22.425,27.921,50.0,0.02521,0.04664,0.07633,0,384,216,Normal
C-101806,L-111,19.621,19.706,23.736,29.964,50.0,0.00354,0.05598,0.0865,0,312,144,Normal
C-101807,L-108,21.659,22.086,24.262,26.8,50.0,0.01782,0.03022,0.03525,0,480,312,Normal
C-101808,L-101,18.971,19.509,23.528,30.375,50.0,0.02241,0.05583,0.09508,0,336,168,Normal
C-101809,L-102,17.311,17.093,20.834,26.186,50.0,-0.00908,0.05195,0.07433,0,360,192,Normal
C-101810,L-102,21.15,22.302,26.332,33.269,50.0,0.048,0.05597,0.09635,0,312,144,Normal
C-101811,L-119,21.103,21.668,24.423,28.085,50.0,0.02354,0.03827,0.05087,0,480,312,Normal
C-101812,L-109,17.621,18.275,21.579,26.092,50.0,0.02725,0.0459,0.06267,0,360,192,Normal
C-101813,L-102,16.274,16.986,19.486,24.42,50.0,0.02965,0.03472,0.06853,0,408,240,Normal
C-101814,L-106,19.301,20.361,23.649,29.034,50.0,0.04416,0.04566,0.07479,0,360,192,Normal
C-101815,L-119,18.9,19.667,22.086,26.971,50.0,0.03196,0.0336,0.06784,0,408,240,Normal
C-101816,L-115,20.575,20.573,22.431,25.756,50.0,-8e-05,0.0258,0.04618,0,504,336,Normal
C-101817,L-108,18.045,19.28,25.674,36.933,50.0,0.05148,0.08879,0.15639,0,240,72,Warning
C-101818,L-107,20.909,21.986,28.13,37.625,50.0,0.04487,0.08534,0.13188,0,240,72,Warning
C-101819,L-120,23.877,24.31,29.447,37.401,50.0,0.01808,0.07135,0.11046,0,288,120,Normal
C-101820,L-109,18.396,18.689,21.745,26.409,50.0,0.01218,0.04245,0.06478,0,408,240,Normal
C-101821,L-103,19.193,19.14,22.756,27.688,50.0,-0.00221,0.05023,0.06849,0,408,240,Normal
C-101822,L-114,18.59,19.146,22.16,27.396,50.0,0.02317,0.04186,0.07272,0,384,216,Normal
C-101823,L-105,20.895,21.41,24.151,29.643,50.0,0.02146,0.03808,0.07627,0,384,216,Normal
C-101824,L-113,20.297,20.942,27.179,36.215,50.0,0.0269,0.08662,0.1255,0,264,96,Warning
C-101825,L-116,21.01,21.634,24.472,29.827,50.0,0.026,0.03942,0.07437,0,384,216,Normal
C-101826,L-112,19.171,19.791,22.878,27.906,50.0,0.02584,0.04286,0.06984,0,384,216,Normal
C-101827,L-108,22.187,21.936,25.108,29.648,50.0,-0.01045,0.04406,0.06305,0,408,240,Normal
C-101828,L-113,17.788,18.588,20.868,24.855,50.0,0.03335,0.03167,0.05537,0,480,312,Normal
C-101829,L-109,14.899,14.925,17.791,19.644,50.0,0.00108,0.03981,0.02573,0,504,336,Normal
C-101830,L-113,19.595,20.136,23.02,27.424,50.0,0.02256,0.04005,0.06117,0,408,240,Normal
C-101831,L-105,16.351,16.274,19.029,22.181,50.0,-0.00319,0.03826,0.04378,0,504,336,Normal
C-101832,L-116,19.087,19.926,24.887,33.121,50.0,0.03496,0.0689,0.11437,0,288,120,Normal
C-101833,L-104,20.924,21.517,25.89,33.293,50.0,0.02469,0.06074,0.10283,0,288,120,Normal
C-101834,L-106,19.122,19.054,21.167,25.183,50.0,-0.00284,0.02935,0.05577,0,504,336,Normal
C-101835,L-118,19.85,19.369,22.868,26.184,50.0,-0.02001,0.04859,0.04606,0,480,312,Normal
C-101836,L-111,19.114,19.643,25.458,35.845,50.0,0.02206,0.08077,0.14425,0,264,96,Warning
C-101837,L-112,20.787,22.431,29.538,41.189,50.0,0.06848,0.09871,0.16183,0,240,72,Warning
C-101838,L-114,21.122,21.133,24.161,29.178,50.0,0.00045,0.04206,0.06967,0,432,264,Normal
C-101839,L-116,20.195,20.06,23.803,28.134,50.0,-0.00563,0.05199,0.06015,0,432,264,Normal
C-101840,L-102,19.749,20.652,25.891,34.16,50.0,0.03765,0.07276,0.11484,0,264,96,Warning
C-101841,L-108,19.001,18.771,21.377,25.651,50.0,-0.00959,0.0362,0.05936,0,480,312,Normal
C-101842,L-115,18.139,18.562,24.019,30.289,50.0,0.01763,0.07579,0.08708,0,288,120,Normal
C-101843,L-110,22.512,22.923,25.036,29.547,50.0,0.01711,0.02934,0.06265,0,432,264,Normal
C-101844,L-110,20.241,20.939,26.608,35.689,50.0,0.02907,0.07873,0.12613,0,264,96,Warning
C-101845,L-119,20.034,20.307,22.779,26.769,50.0,0.01137,0.03433,0.05542,0,456,288,Normal
C-101846,L-120,20.943,21.074,24.268,27.715,50.0,0.00548,0.04437,0.04786,0,432,264,Normal
C-101847,L-119,18.138,19.144,21.053,25.651,50.0,0.04195,0.02651,0.06386,0,480,312,Normal
C-101848,L-102,19.977,20.257,25.043,33.391,50.0,0.01166,0.06647,0.11595,0,288,120,Normal
C-101849,L-112,16.792,16.896,19.674,23.78,50.0,0.00433,0.03858,0.05703,0,408,240,Normal
C-101850,L-103,17.261,17.863,22.378,29.433,50.0,0.02506,0.06272,0.09798,0,312,144,Normal
C-101851,L-114,20.265,21.245,23.54,27.214,50.0,0.04082,0.03188,0.05103,0,504,336,Normal
C-101852,L-105,20.222,19.961,22.59,26.364,50.0,-0.01088,0.03651,0.05242,0,456,288,Normal
C-101853,L-102,19.993,20.765,24.418,31.081,50.0,0.03217,0.05074,0.09254,0,312,144,Normal
C-101854,L-114,18.946,19.191,23.449,29.558,50.0,0.01022,0.05914,0.08485,0,336,168,Normal
C-101855,L-107,18.929,20.117,27.111,38.188,50.0,0.0495,0.09715,0.15384,0,240,72,Warning
C-101856,L-119,20.353,20.725,22.988,27.354,50.0,0.01549,0.03143,0.06064,0,480,312,Normal
C-101857,L-112,13.756,15.096,19.059,25.542,50.0,0.05583,0.05506,0.09003,0,336,168,Normal
C-101858,L-103,19.679,20.198,23.145,26.897,50.0,0.02163,0.04092,0.05211,0,408,240,Normal
C-101859,L-109,17.563,17.771,20.759,25.568,50.0,0.00868,0.0415,0.0668,0,432,264,Normal
C-101860,L-117,17.555,17.606,20.632,25.73,50.0,0.00215,0.04202,0.07081,0,432,264,Normal
C-101861,L-107,19.364,19.62,21.622,25.77,50.0,0.01066,0.0278,0.05761,0,480,312,Normal
C-101862,L-114,18.516,19.184,22.962,28.158,50.0,0.02781,0.05248,0.07217,0,360,192,Normal
C-101863,L-115,21.626,22.033,24.176,28.045,50.0,0.01698,0.02975,0.05374,0,480,312,Normal
C-101864,L-106,22.19,22.713,24.735,27.884,50.0,0.02178,0.02809,0.04373,0,480,312,Normal
C-101865,L-105,21.818,21.928,27.045,33.795,50.0,0.00458,0.07108,0.09375,0,288,120,Normal
C-101866,L-115,16.961,16.832,18.695,22.459,50.0,-0.00535,0.02588,0.05227,0,480,312,Normal
C-101867,L-119,19.616,20.118,26.332,35.667,50.0,0.02094,0.0863,0.12966,0,264,96,Warning
C-101868,L-109,19.046,19.54,23.769,29.913,50.0,0.0206,0.05873,0.08534,0,312,144,Normal
C-101869,L-105,20.663,20.318,23.032,26.594,50.0,-0.01437,0.03769,0.04948,0,456,288,Normal
C-101870,L-111,18.31,18.723,22.368,28.12,50.0,0.01718,0.05062,0.07989,0,384,216,Normal
C-101871,L-115,19.972,20.084,25.01,32.875,50.0,0.00468,0.06841,0.10924,0,312,144,Normal
C-101872,L-112,18.767,19.764,21.574,25.242,50.0,0.04155,0.02514,0.05095,0,480,312,Normal
C-101873,L-110,20.304,20.907,23.388,27.235,50.0,0.02513,0.03446,0.05343,0,456,288,Normal
C-101874,L-104,19.07,19.68,23.802,30.769,50.0,0.02538,0.05725,0.09677,0,312,144,Normal
C-101875,L-115,20.421,21.191,23.047,26.151,50.0,0.03205,0.02579,0.04311,0,504,336,Normal
C-101876,L-112,18.686,19.487,22.574,27.285,50.0,0.03338,0.04287,0.06544,0,408,240,Normal
C-101877,L-109,21.083,21.482,24.322,29.078,50.0,0.01665,0.03944,0.06605,0,432,264,Normal
C-101878,L-114,22.046,22.158,26.101,32.573,50.0,0.00468,0.05476,0.08988,0,336,168,Normal
C-101879,L-108,19.581,20.752,22.071,26.265,50.0,0.04881,0.01831,0.05826,0,480,312,Normal
C-101880,L-104,19.91,20.061,24.003,30.461,50.0,0.00632,0.05475,0.08969,0,336,168,Normal
C-101881,L-113,21.663,22.127,24.151,27.866,50.0,0.01934,0.0281,0.0516,0,504,336,Normal
C-101882,L-106,20.059,21.163,23.138,26.809,50.0,0.04599,0.02744,0.05099,0,504,336,Normal
C-101883,L-120,20.317,20.862,24.74,29.737,50.0,0.02272,0.05386,0.0694,0,360,192,Normal
C-101884,L-107,19.103,19.264,21.8,25.784,50.0,0.00671,0.03521,0.05533,0,456,288,Normal
C-101885,L-114,18.512,19.035,23.9,33.193,50.0,0.02182,0.06756,0.12908,0,264,96,Warning
C-101886,L-104,16.287,16.611,19.965,25.172,50.0,0.01347,0.04659,0.07232,0,384,216,Normal
C-101887,L-101,19.614,20.203,23.431,28.243,50.0,0.02453,0.04483,0.06683,0,384,216,Normal
C-101888,L-120,17.882,18.238,21.209,25.458,50.0,0.0148,0.04127,0.05902,0,408,240,Normal
C-101889,L-101,16.633,17.63,23.204,31.372,50.0,0.04157,0.07741,0.11344,0,264,96,Warning
C-101890,L-101,20.436,21.532,24.0,28.891,50.0,0.04569,0.03427,0.06793,0,384,216,Normal
C-101891,L-105,18.677,19.18,20.912,24.329,50.0,0.02094,0.02406,0.04746,0,504,336,Normal
C-101892,L-102,18.666,19.261,22.3,26.59,50.0,0.02479,0.04221,0.05957,0,432,264,Normal
C-101893,L-108,18.201,18.981,24.879,34.156,50.0,0.03249,0.08192,0.12884,0,264,96,Warning
C-101894,L-116,19.469,19.866,22.328,26.04,50.0,0.01656,0.03419,0.05156,0,456,288,Normal
C-101895,L-104,18.408,19.76,22.075,25.069,50.0,0.05633,0.03215,0.04158,0,504,336,Normal
C-101896,L-120,20.606,20.805,23.615,28.402,50.0,0.00831,0.03902,0.06648,0,408,240,Normal
C-101897,L-120,19.001,19.908,22.214,25.785,50.0,0.03782,0.03203,0.0496,0,456,288,Normal
C-101898,L-108,19.131,19.415,25.077,32.93,50.0,0.01184,0.07864,0.10906,0,288,120,Normal
C-101899,L-106,20.007,20.507,23.268,28.552,50.0,0.02085,0.03835,0.07338,0,408,240,Normal
C-101900,L-103,17.063,17.639,23.666,32.69,50.0,0.02401,0.08371,0.12533,0,264,96,Warning
C-101901,L-110,19.229,18.48,21.44,24.662,50.0,-0.0312,0.04112,0.04474,0,480,312,Normal
C-101902,L-112,22.634,22.743,26.227,31.171,50.0,0.00455,0.04839,0.06866,0,384,216,Normal
C-101903,L-103,18.887,18.562,21.51,24.726,50.0,-0.01352,0.04093,0.04467,0,504,336,Normal
C-101904,L-120,19.753,20.162,22.801,25.906,50.0,0.01702,0.03666,0.04312,0,456,288,Normal
C-101905,L-107,20.095,20.158,22.969,27.002,50.0,0.00261,0.03905,0.05602,0,456,288,Normal
C-101906,L-113,18.227,18.967,22.018,26.633,50.0,0.03086,0.04237,0.06409,0,408,240,Normal
C-101907,L-111,16.764,17.779,19.635,24.432,50.0,0.04228,0.02577,0.06662,0,456,288,Normal
C-101908,L-114,18.535,18.705,22.017,27.458,50.0,0.00707,0.04599,0.07557,0,384,216,Normal
C-101909,L-109,18.182,19.808,24.726,32.55,50.0,0.06773,0.06831,0.10867,0,288,120,Normal
C-101910,L-118,16.852,17.623,22.601,29.451,50.0,0.03211,0.06913,0.09514,0,312,144,Normal
C-101911,L-102,18.932,19.07,22.523,27.287,50.0,0.00573,0.04796,0.06617,0,360,192,Normal
C-101912,L-113,18.973,19.687,25.298,33.593,50.0,0.02972,0.07794,0.1152,0,288,120,Normal
C-101913,L-115,22.021,22.738,26.996,34.224,50.0,0.02984,0.05914,0.10039,0,312,144,Normal
C-101914,L-116,20.978,21.778,24.08,27.385,50.0,0.03333,0.03197,0.04591,0,456,288,Normal
C-101915,L-120,21.265,21.242,24.037,27.644,50.0,-0.00097,0.03882,0.0501,0,456,288,Normal
C-101916,L-119,19.776,20.826,27.032,36.89,50.0,0.04375,0.0862,0.13691,0,240,72,Warning
C-101917,L-105,18.967,19.577,23.384,28.514,50.0,0.02544,0.05287,0.07126,0,360,192,Normal
C-101918,L-108,19.479,20.087,24.417,31.702,50.0,0.02533,0.06014,0.10118,0,312,144,Normal
C-101919,L-105,19.085,19.851,21.903,26.361,50.0,0.03191,0.0285,0.06192,0,408,240,Normal
C-101920,L-103,17.874,17.796,21.085,25.213,50.0,-0.00326,0.04568,0.05734,0,408,240,Normal
C-101921,L-116,18.915,19.322,24.675,31.767,50.0,0.01693,0.07436,0.09849,0,312,144,Normal
C-101922,L-119,21.402,21.445,25.449,30.479,50.0,0.00178,0.05561,0.06987,0,408,240,Normal
C-101923,L-110,20.542,21.33,29.496,41.29,50.0,0.03287,0.1134,0.16381,0,240,72,Warning
C-101924,L-119,20.684,20.737,23.537,27.939,50.0,0.0022,0.03889,0.06115,0,432,264,Normal
C-101925,L-101,20.074,20.171,22.643,26.004,50.0,0.00405,0.03434,0.04668,0,480,312,Normal
C-101926,L-116,22.968,23.26,25.315,28.82,50.0,0.01217,0.02854,0.04868,0,480,312,Normal
C-101927,L-101,20.134,21.736,27.584,36.408,50.0,0.06676,0.08121,0.12256,0,264,96,Warning
C-101928,L-113,16.722,16.724,20.249,25.095,50.0,0.00012,0.04895,0.0673,0,408,240,Normal
C-101929,L-120,21.784,22.11,24.5,28.537,50.0,0.0136,0.03319,0.05606,0,432,264,Normal
C-101930,L-108,19.935,20.47,23.369,28.209,50.0,0.02231,0.04027,0.06722,0,408,240,Normal
C-101931,L-115,19.844,21.315,28.267,40.372,50.0,0.06129,0.09655,0.16813,0,240,72,Warning
C-101932,L-116,19.189,20.044,23.45,29.089,50.0,0.03562,0.04731,0.07832,0,360,192,Normal
C-101933,L-111,19.845,19.907,23.567,28.796,50.0,0.00257,0.05083,0.07262,0,384,216,Normal
C-101934,L-109,19.646,19.27,22.59,26.852,50.0,-0.01568,0.04611,0.0592,0,456,288,Normal
C-101935,L-104,18.472,18.565,21.979,26.273,50.0,0.00391,0.04741,0.05964,0,432,264,Normal
C-101936,L-115,20.128,20.676,24.103,30.215,50.0,0.02283,0.0476,0.08489,0,360,192,Normal
C-101937,L-119,21.771,22.233,24.571,28.775,50.0,0.01925,0.03247,0.05839,0,432,264,Normal
C-101938,L-108,19.243,19.717,22.199,26.639,50.0,0.01975,0.03446,0.06167,0,480,312,Normal
C-101939,L-108,22.028,22.706,27.52,34.352,50.0,0.02822,0.06687,0.09488,0,312,144,Normal
C-101940,L-104,19.61,19.994,24.101,29.394,50.0,0.01603,0.05704,0.07351,0,360,192,Normal
C-101941,L-107,18.261,18.381,21.642,26.064,50.0,0.00498,0.0453,0.06141,0,432,264,Normal
C-101942,L-113,20.603,20.531,23.494,27.176,50.0,-0.00301,0.04116,0.05113,0,432,264,Normal
C-101943,L-116,20.636,20.552,24.845,30.809,50.0,-0.00352,0.05963,0.08283,0,360,192,Normal
C-101944,L-119,21.845,22.969,29.869,40.089,50.0,0.04683,0.09583,0.14195,0,240,72,Warning
C-101945,L-117,19.606,20.261,25.067,32.8,50.0,0.02726,0.06676,0.1074,0,288,120,Normal
C-101946,L-111,19.724,20.303,24.826,32.464,50.0,0.02412,0.06282,0.10609,0,288,120,Normal
C-101947,L-101,17.595,18.998,21.479,25.862,50.0,0.05849,0.03445,0.06087,0,384,216,Normal
C-101948,L-104,21.031,21.606,26.316,33.551,50.0,0.02395,0.06541,0.1005,0,312,144,Normal
C-101949,L-112,17.969,18.057,20.729,23.815,50.0,0.00367,0.03711,0.04287,0,504,336,Normal
C-101950,L-113,17.926,18.589,19.866,23.436,50.0,0.02764,0.01773,0.04959,0,504,336,Normal
C-101951,L-108,20.018,21.502,28.713,40.034,50.0,0.06182,0.10015,0.15725,0,240,72,Warning
C-101952,L-112,19.458,20.759,27.552,38.461,50.0,0.05419,0.09435,0.15152,0,240,72,Warning
C-101953,L-120,20.591,21.721,25.03,30.442,50.0,0.04709,0.04596,0.07516,0,360,192,Normal
C-101954,L-115,20.529,21.449,23.754,28.987,50.0,0.03837,0.03201,0.07268,0,360,192,Normal
C-101955,L-107,18.908,18.961,23.879,31.905,50.0,0.00221,0.0683,0.11148,0,288,120,Normal
C-101956,L-120,19.712,20.257,23.709,27.445,50.0,0.02272,0.04793,0.05189,0,408,240,Normal
C-101957,L-107,18.605,18.495,21.058,25.158,50.0,-0.00458,0.0356,0.05695,0,456,288,Normal
C-101958,L-103,22.117,21.71,27.32,34.449,50.0,-0.01697,0.07792,0.09901,0,312,144,Normal
C-101959,L-114,19.367,20.455,24.516,31.048,50.0,0.04533,0.05639,0.09073,0,312,144,Normal
C-101960,L-115,18.722,18.68,21.559,25.286,50.0,-0.00175,0.03999,0.05176,0,456,288,Normal
C-101961,L-119,19.79,20.016,24.415,31.649,50.0,0.00941,0.0611,0.10048,0,312,144,Normal
C-101962,L-102,16.524,17.594,20.918,27.8,50.0,0.04461,0.04616,0.0956,0,336,168,Normal
C-101963,L-113,17.662,17.939,22.348,29.263,50.0,0.01156,0.06123,0.09604,0,336,168,Normal
C-101964,L-120,18.588,18.464,22.83,29.016,50.0,-0.00518,0.06064,0.08592,0,336,168,Normal
C-101965,L-112,20.087,20.383,25.324,32.931,50.0,0.01234,0.06862,0.10565,0,288,120,Normal
C-101966,L-118,22.769,23.655,30.198,39.544,50.0,0.03691,0.09089,0.1298,0,240,72,Warning
C-101967,L-103,20.508,20.726,22.202,25.829,50.0,0.00908,0.02051,0.05037,0,504,336,Normal
C-101968,L-101,20.625,20.643,23.092,26.742,50.0,0.00075,0.03401,0.05069,0,480,312,Normal
